icao,iata,name,city,country,lat,lon,elevation_ft
AGAF,AFT,Afutara Aerodrome,Bila,SB,-9.191389,160.948611,23
AGAR,RNA,Ulawa Airport,Arona,SB,-9.860543583,161.9795465,40
AGAT,ATD,Uru Harbour Airport,Atoifi,SB,-8.87333,161.011002,0
AGBA,VEV,Barakoma Airport,Barakoma,SB,-7.912779808,156.7059937,0
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,SB,-8.562027778,158.1193056,24
AGEV,GEF,Geva Airport,Liangia,SB,-7.575829983,156.5970001,0
AGGA,AKS,Gwaunaru'u Airport,Auki,SB,-8.70257,160.682007,5
AGGB,BNY,Bellona/Anua Airport,Anua,SB,-11.30222222,159.7983333,60
AGGC,CHY,Choiseul Bay Airport,Choiseul Bay,SB,-6.711944,156.396111,0
AGGE,BAS,Ballalae Airport,Ballalae,SB,-6.990745,155.886656,5
AGGF,FRE,Fera/Maringe Airport,Fera Island,SB,-8.1075,159.576996,0
AGGH,HIR,Honiara International Airport,Honiara,SB,-9.428,160.054993,28
AGGI,MBU,Babanakira Airport,Mbambanakira,SB,-9.7475,159.839005,0
AGGJ,AVU,Avu Avu Airport,Avu Avu,SB,-9.868333,160.410556,25
AGGK,IRA,Ngorangora Airport,Kirakira,SB,-10.44970036,161.897995,54
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,-10.7203,165.794998,18
AGGM,MUA,Munda Airport,Munda,SB,-8.32797,157.263,10
AGGN,GZO,Nusatupe Airport,Gizo,SB,-8.097780228,156.8639984,13
AGGO,MNY,Mono Airport,Stirling Island,SB,-7.416940212,155.5650024,0
AGGP,PRS,Parasi Airport,Parasi,SB,-9.641670227,161.4250031,0
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,SB,-11.55,160.062778,0
AGGS,EGM,Sege Airport,Sege,SB,-8.57889,157.876007,0
AGGT,NNB,Santa Ana Airport,Santa Ana Island,SB,-10.847994,162.454108,3
AGGU,RUS,Marau Airport,Marau,SB,-9.86166954,160.8249969,0
AGGV,VAO,Suavanao Airport,Suavanao,SB,-7.58556,158.731003,0
AGGY,XYA,Yandina Airport,Yandina,SB,-9.092816,159.21841,60
AGKG,KGE,Kaghau Airport,Kagau Island,SB,-7.3305,157.585,30
AGKU,KUE,Kukudu Airport,Kolombangara Island,SB,-8.0262,156.94783,32
AGKW,KWS,Kwailabesi Airport,Kwailabesi,SB,-8.360508,160.775127,52
AGNA,NAZ,Nana Airport,Star Harbor,SB,-10.6758,162.2049,60
AGOK,GTA,Gatokae Aerodrome,Gatokae,SB,-8.738358,158.202836,70
AGRC,RIN,Ringi Cove Airport,Ringi Cove,SB,-8.126390457,157.1430054,0
AGRM,RBV,Ramata Airport,Ramata,SB,-8.168060303,157.6430054,0
AGTI,TLG,Tulaghi Heliport,Tulaghi Island,SB,-9.108,160.1491667,3
ANYN,INU,Nauru International Airport,Yaren District,NR,-0.547458,166.919006,22
AYAA,AMF,Ama Airport,,PG,-4.101111111,141.67,145
AYAE,UAE,Mount Aue Airport,,PG,-6.234166667,144.6647222,4250
AYAF,AFR,Afore Airstrip,Afore,PG,-9.13867,148.390701,2500
AYAG,AUP,Agaun Airport,,PG,-9.930833,149.385667,3200
AYAI,ATP,Aitape Airport,Aitape,PG,-3.143611,142.346806,10
AYAK,AIH,Aiambak Airport,Aiambak,PG,-7.342777778,141.2675,90
AYAM,AMU,Amanab Airport,Amanab,PG,-3.586,141.2143333,1307
AYAN,ADC,Andakombe Airport,Andekombe,PG,-7.137222222,145.7447222,3600
AYAO,AIE,Aiome Airport,Aiome,PG,-5.145699978,144.7307003,350
AYAQ,KPM,Kompiam Airport,,PG,-5.381666667,143.9247222,5100
AYAT,AUJ,Ambunti Airport,Ambunti,PG,-4.215666667,142.8231667,50
AYAW,AWB,Awaba Airport,Awaba,PG,-8.013414,142.752099,32
AYAX,AEK,Aseki Airport,Aseki,PG,-7.350805,146.193994,4106
AYAY,AYU,Aiyura Airport,Aiyura Valley,PG,-6.338055556,145.9041667,5355
AYBA,VMU,Baimuru Airport,Baimuru,PG,-7.496860027,144.8199005,27
AYBC,BCP,Bambu Airport,Bambu,PG,-5.863611111,146.4925,6790
AYBD,BNM,Bodinumu Airport,Bodinumu,PG,-9.107777778,147.6667222,3700
AYBF,BMZ,Bamu Airport,Bamu,PG,-7.8485,143.2433,50
AYBG,BDZ,Baindoung Airport,,PG,-6.347222222,146.9422222,4400
AYBH,BSP,Bensbach Airport,Bensbach,PG,-8.858055556,141.2594444,30
AYBI,BWP,Bewani Airport,Bewani,PG,-3.021666667,141.1652778,550
AYBK,BUA,Buka Airport,Buka Island,PG,-5.422319889,154.6730042,11
AYBL,BAA,Bialla Airport,"Bialla, Matalilu, Ewase",PG,-5.330560207,151.0079956,51
AYBM,OPU,Balimo Airport,Balimo,PG,-8.050000191,142.9329987,51
AYBO,BMH,Bomai Airport,Bomai,PG,-6.373166667,144.637,3300
AYBP,BPD,Bapi Airstrip,Bapi,PG,-7.743611111,147.0205556,2930
AYBQ,BPK,Biangabip Airport,Biangabip,PG,-5.526389,141.744583,1069
AYBR,BRP,Biaru Airport,Biaru,PG,-7.6693,146.7594,4900
AYBU,BUL,Bulolo Airport,Bulolo,PG,-7.216286671,146.6495419,2240
AYBZ,XBN,Biniguni Airport,Biniguni,PG,-9.6425,149.303889,215
AYCB,CVB,Chungribu Airport,Chungribu,PG,-4.80662,144.714996,108
AYCG,CGC,Cape Gloucester Airport,Cape Gloucester,PG,-5.458965,148.432417,78
AYCH,CMU,Chimbu Airport,Kundiawa,PG,-6.024290085,144.970993,4974
AYCS,SQT,China Strait Airstrip,Samarai Island,PG,-10.56277778,150.6906944,10
AYDB,DBP,Debepare Airport,Debepare,PG,-6.308611111,141.9055556,360
AYDE,DER,Derim Airport,Derim,PG,-6.144722222,147.1072222,4850
AYDI,BNT,Bundi Airport,Bundi,PG,-5.742222222,145.2275,4400
AYDK,MDM,Munduku Airport,Munduku,PG,-4.6204,143.4516,100
AYDL,KPF,Kondobol Airport,Kondobol,PG,-8.5336,142.5049,132
AYDN,DNU,Dinangat Airport,Dinangat,PG,-6.1546,146.6772,5309
AYDO,DOI,Doini Airport,Castori Islets,PG,-10.7009,150.7218,31
AYDR,DOO,Dorobisoro Airport,Dorobisoro,PG,-9.461855,147.920907,1767
AYDU,DAU,Daru Airport,Daru,PG,-9.08676,143.207993,20
AYEA,KRU,Kerau Airport,Gunim,PG,-8.271612,147.071899,7360
AYEB,EMS,Embessa Airport,Embessa,PG,-9.447,148.7628,131
AYED,XYR,Edwaki Airport,Yellow River Mission,PG,-3.883986,141.792234,190
AYEE,EMI,Emirau Airport,Emirau Island,PG,-1.653949991,149.9757667,172
AYEF,EFG,Efogi Airport,Efogi,PG,-9.153805556,147.6598056,3900
AYEH,MHY,Morehead Airport,Morehead,PG,-8.714111111,141.6444444,100
AYEL,EPT,Eliptamin Airport,Eliptamin,PG,-5.0412,141.6779,4825
AYEN,EGA,Engati Airstrip,Engati,PG,-6.9179,146.1053,3715
AYEO,EMO,Emo River Airstrip,Emo Mission,PG,-9.1234,148.0415,2240
AYER,ERU,Erume Airport,Erume,PG,-8.2538,146.9747,6690
AYET,BOT,Bosset Airport,Bosset,PG,-7.237257,141.1063222,80
AYEV,ERE,Erave Airport,Erave,PG,-6.606463154,143.9002132,3650
AYEW,SWE,Siwea Airport,Siwea,PG,-6.284181,147.582371,5960
AYFA,FNE,Fane Airport,Fane Mission,PG,-8.549277778,147.0858333,4500
AYFE,FRQ,Feramin Airport,Feramin,PG,-5.208,141.6988,4655
AYFI,FIN,Finschhafen Airport,Buki,PG,-6.621750109,147.85405,60
AYFR,FAQ,Frieda River Airport,Frieda River,PG,-4.610468,141.960138,217
AYFU,FUM,Fuma Airport,Fuma,PG,-6.3933,142.4408,466
AYGA,GKA,Goroka Airport,Goronka,PG,-6.081689835,145.3919983,5282
AYGC,GEW,Gewoia Airport,Gewoia,PG,-9.2263,148.4949,340
AYGF,GUG,Guari Airport,Guari,PG,-8.1286,146.8722,6450
AYGG,GRL,Garasa Airport,Au,PG,-7.980713,147.213461,2539
AYGI,GAR,Garaina Airport,Garaina,PG,-7.875625,147.141266,2497
AYGJ,GAZ,Guasopa Airport,Woodlark (Muyua) Island,PG,-9.225918,152.944352,10
AYGL,GOE,Gonaili Airport,Gonaili,PG,-5.527716614,151.5733333,40
AYGN,GUR,Gurney Airport,Gurney,PG,-10.3114996,150.3339996,88
AYGP,GAP,Gusap Airport,Gusap,PG,-6.053196,145.959047,1504
AYGR,PNP,Girua Airport,Popondetta,PG,-8.80453968,148.3090057,311
AYGS,GBC,Gasuke Airport,Gasuke,PG,-6.1028,141.7393,157
AYGT,GMI,Gasmata Island Airport,Gasmata Island,PG,-6.271110058,150.3309937,23
AYGU,AKG,Anguganak Airport,Anguganak,PG,-3.560504,142.217307,937
AYGV,GVI,Green River Airport,Green River,PG,-3.902242899,141.170517,281
AYGX,GOC,Gora Airstrip,Gora,PG,-9.0021,148.2364,2497
AYHB,HBD,Habi Airport,Habi,PG,-6.32,142.4893,993
AYHE,HNI,Heiweni Airport,Heiweni,PG,-7.4223,146.4276,3480
AYHF,HYF,Hayfields Airport,Bainyik,PG,-3.69838,143.057902,466
AYHH,HNN,Honinabi Airport,Honinabi,PG,-6.2457,142.1771,452
AYHK,HKN,Hoskins Airport,Kimbe,PG,-5.463846,150.407327,66
AYHO,HIT,Haivaro Airport,Haivaro,PG,-6.9406,143.059,180
AYHU,HWA,Hawabango Airport,Hawabango,PG,-7.392994,146.003487,4563
AYIA,IIS,Nissan Island Airport,Nissan Island,PG,-4.499720097,154.2259979,52
AYID,IDN,Indagen Airport,Indagen,PG,-6.22663,147.244,5788
AYII,IMN,Imane Airport,Imane,PG,-6.7524,146.1072,3860
AYIM,KGM,Kungim Airport,Kungim,PG,-5.671,141.03,349
AYIO,IMD,Imonda Airport,Imonda,PG,-3.328,141.1573,990
AYIQ,KIE,Aropa Airport,Kieta,PG,-6.305417,155.728139,20
AYIW,WSA,Wasua Airport,Wasua,PG,-8.2836,142.8697,45
AYIX,WIU,Witu Airport,Garove Island,PG,-4.689522,149.440112,25
AYIY,MPX,Miyanmin Airport,Miyanmin,PG,-4.903055556,141.6208333,2500
AYJO,KGH,Yongai Airport,Yongai,PG,-8.5289,147.4603,6500
AYJS,JOP,Josephstaal Airport,Josephstaal,PG,-4.747083333,145.0070833,250
AYKA,LSA,Losuia Airport,Losuia,PG,-8.505820274,151.0809937,27
AYKB,KBM,Kabwum,,PG,-6.155472222,147.1914722,4450
AYKC,KDR,Kandrian Airport,Kandrian,PG,-6.19217,149.54783,280
AYKD,KMF,Kamina Airport,Hoieti,PG,-7.64925,145.9569444,2157
AYKG,KPA,Kopiago Airport,Kopiago,PG,-5.3883,142.4977,4445
AYKH,KAQ,Kamulai Airport,Kamulai Mission,PG,-8.150694444,146.834,5800
AYKI,UNG,Kiunga Airport,Kiunga,PG,-6.125710011,141.2819977,88
AYKJ,KNE,Kanainj Airport,Kanainj,PG,-5.2903,144.7072,4064
AYKK,KRI,Kikori Airport,Kikori,PG,-7.42438,144.250076,50
AYKM,KMA,Kerema Airport,Kerema,PG,-7.963610172,145.7709961,10
AYKO,KKD,Kokoda Airport,Kokoda,PG,-8.884679,147.730957,1240
AYKQ,KGW,Kagi Airport,Kagi,PG,-9.135916667,147.6694444,4200
AYKR,KRX,Kar Kar Airport,Kar Kar Island,PG,-4.557,145.9404,130
AYKT,KZF,Kaintiba Airport,Kaintiba,PG,-7.50025,146.0338333,2050
AYKU,KUQ,Kuri Airport,Kuri,PG,-7.135083,143.276111,35
AYKV,KVG,Kavieng Airport,Kavieng,PG,-2.579400063,150.8079987,7
AYKW,KWO,Kawito Airport,Kawito,PG,-7.977006912,142.8235779,72
AYKY,LNV,Londolovit Airport,Londolovit,PG,-3.043610096,152.6289978,167
AYLB,LAB,Lab Lab Airport,Lab Lab Mission,PG,-5.7204,148.0566,160
AYLG,KEG,Keglsugl Airport,Denglagu Mission,PG,-5.832777778,145.0972222,8400
AYLI,KII,Kibuli Airstrip,Kibuli,PG,-9.006528,142.698056,54
AYLL,LGN,Linga Linga Airport,Linga Linga,PG,-5.531944444,149.7341667,17
AYLN,LNM,Langimar Airport,,PG,-7.223138889,146.2270833,5127
AYLO,LWI,Lowai Airport,Lowai,PG,-6.3344,146.6458,2900
AYLP,LPN,Leron Plains Airport,Leron Plains,PG,-6.3917,146.3434,680
AYLS,LNG,Lese Airport,Lese,PG,-8.2799,146.2765,40
AYLT,LNC,Lengbati Airport,,PG,-6.384611111,147.3686389,5750
AYLU,LMI,Lumi Airport,Lumi,PG,-3.476839511,142.0412922,1750
AYLX,LSJ,Long Island Airport,Long Island,PG,-5.3604,147.0177,116
AYMA,MRM,Manari Airport,Manari,PG,-9.1908,147.6219,2630
AYMB,OBM,Morobe Airport,Morobe,PG,-7.74,147.59,8
AYMC,MYX,Menyamya Airport,Menyamya,PG,-7.211666667,146.0193611,3880
AYMD,MAG,Madang Airport,Madang,PG,-5.207079887,145.7890015,20
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG,-5.828212,144.299412,5388
AYMI,MXK,Mindik Airport,Mindik,PG,-6.471666667,147.4411389,4200
AYMJ,MPG,Makini Airport,Makini,PG,-6.532222222,147.6511667,2530
AYML,GUV,Mougulu Airport,Mougulu,PG,-6.280859,142.420775,825
AYMN,MDU,Mendi Airport,Mendi,PG,-6.14774,143.656998,5680
AYMO,MAS,Momote Airport,Manus Island,PG,-2.06189,147.423996,12
AYMP,MLQ,Malalaua Airport,Malalaua,PG,-8.071388889,146.1554722,20
AYMQ,MQO,Malam Airport,Malam,PG,-8.709166667,142.6497222,126
AYMR,MXH,Moro Airport,Moro,PG,-6.363329887,143.2380066,2740
AYMS,MIS,Misima Island Airport,Misima Island,PG,-10.6892004,152.8379974,26
AYMV,MKN,Malekolon Airport,Babase Island,PG,-4.023430556,153.6572778,5
AYMW,MWG,Marawaka Airport,Marawaka,PG,-6.9736,145.8849,6050
AYMZ,MPU,Mapua(Mabua) Airport,Tatau Island,PG,-2.811388889,151.9911111,40
AYNA,NKN,Nankina Airport,Gwarawon,PG,-5.837,146.4533,5800
AYNB,KEX,Kanabea Airport,Kanabea,PG,-7.538888889,145.905,4288
AYNC,NDN,Nadunumu Airport,Nadunumu,PG,-9.143555556,147.68425,5100
AYND,AUI,Aua Island Airport,Aua Island,PG,-1.460555556,143.0647222,4
AYNE,GBF,Negarbo(Negabo) Airport,Negarbo,PG,-6.567778,144.703058,4500
AYNI,NUG,Nuguria Airstrip,Nuguria Island,PG,-3.4075,154.7383,30
AYNJ,NDI,Namudi Airport,Namudi,PG,-9.47375,148.3294167,1044
AYNM,KSB,Kasonombe Airport,Kasonombe,PG,-6.3819,146.9859,5800
AYNN,KDP,Kandep Airport,Kandep,PG,-5.840611111,143.5072222,7710
AYNO,NMN,Nomane Airport,Namane,PG,-6.32183,145.070667,6032
AYNS,BXZ,Bunsil Airport,Bunsil - Umboi Island,PG,-5.7243,147.8667,201
AYNU,UKU,Nuku Airport,Nuku,PG,-3.676651,142.484334,870
AYNX,ATN,Namatanai Airport,Namatanai,PG,-3.6695,152.438,150
AYNY,NBA,Nambaiyufa Airport,Nambaiyufa,PG,-6.2412,145.2424,5550
AYNZ,LAE,Nadzab Airport,Lae,PG,-6.569803,146.725977,239
AYOB,OBX,Obo Airport,Obo,PG,-7.590622421,141.3242626,29
AYOE,KGB,Konge Airport,Konge,PG,-6.2239,147.2152,5900
AYOF,OKV,Okao Airport,Okao,PG,-5.556666667,141.0327778,450
AYOG,OGE,Ogeranang Airport,,PG,-6.46675,147.3641667,5850
AYOJ,OKP,Oksapmin Airport,Oksapmin,PG,-5.2261,142.2259,5140
AYOK,HOC,Komako Airport,Komako,PG,-7.3984,145.8827,3960
AYOL,KQL,Kol Airport,Kol,PG,-5.731166667,144.846,5350
AYOM,OSE,Omora Airport,Omora,PG,-7.827777778,147.0806389,2540
AYOO,KOM,Komo-Manda Airport,Komo,PG,-6.0682,142.8598,5057
AYOP,KSP,Kosipe Airport,Kosipe Mission,PG,-8.450716,147.209195,6350
AYOQ,KCJ,Komaio Airport,Komaio,PG,-7.2714,143.5952,28
AYOV,OLQ,Olsobip Airport,Olsobip,PG,-5.389722222,141.5152778,1500
AYOW,KDE,Koroba Airport,Koroba,PG,-5.6952,142.7441,5638
AYPB,PLE,Paiela Airport,Paiela,PG,-5.372407,142.975774,6100
AYPC,PGB,Pangoa Airport,Pangoa,PG,-7.0226,141.5605,60
AYPD,PDI,Pindiu Airport,Pindiu,PG,-6.445138889,147.5158333,2995
AYPE,APR,April River Airport,April River,PG,-4.676666667,142.5401389,220
AYPG,PGN,Pangia Airport,Pangia,PG,-6.386,144.1084,5340
AYPJ,PMP,Pimaga Airport,Pimaga,PG,-6.499166667,143.5102778,2745
AYPO,MPF,Mapoda Airport,Mapoda,PG,-7.979,143.1694,45
AYPQ,PMN,Pumani Airport,Pumani,PG,-9.7469,149.4766,427
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,PG,-9.443380356,147.2200012,146
AYQA,KRJ,Karawari Airstrip,Amboin,PG,-4.596666667,143.5225,70
AYQL,TLP,Tumolbil Airport,Tumolbil,PG,-4.7748,141.0133,3590
AYQO,SPH,Sopu Airport,Sopu,PG,-8.3038,147.1659,6580
AYQQ,ONB,Ononge Airport,Onange Mission,PG,-8.674361111,147.2624167,5800
AYQS,SXA,Sialum Airport,Sialum,PG,-6.0908,147.5955,170
AYRA,KIQ,Kira Airport,Kira,PG,-8.065111111,147.3320278,1700
AYRE,RBP,Raba Raba Airport,Rabaraba,PG,-9.971111111,149.8322222,170
AYRG,RMN,Rumginae Airport,,PG,-5.897222222,141.2716667,160
AYRI,KMR,Karimui Airport,Karimui,PG,-6.4921,144.823,3640
AYRK,RKU,Kairuku Airport,Yule Island,PG,-8.817000054,146.5243833,45
AYRM,MWI,Maramuni Airport,Maramuni,PG,-5.13,143.4829,5160
AYRO,KOR,Kakoro(Koroko) Airstrip,Kakoro,PG,-7.834666667,146.5335,230
AYSA,SBE,Suabi Airport,,PG,-6.104444444,142.2783333,465
AYSD,SDI,Saidor Airport,Saidor,PG,-5.627138889,146.4627778,83
AYSE,NIS,Simberi Airport,Simberi Island,PG,-2.662222222,151.9977778,10
AYSF,SFU,Safia Airport,Safia,PG,-9.593055556,148.6361111,430
AYSG,SIL,Sila Airport,Sila Mission,PG,-9.073555556,148.38925,2230
AYSH,SBV,Sabah Airport,Sabah,PG,-5.5765,155.0489,10
AYSJ,SIM,Simbai Airport,Simbai,PG,-5.278611111,144.5447222,5804
AYSK,SGK,Sengapi Airstrip,Sengapi,PG,-5.125833333,144.3236111,6242
AYSL,SXH,Sehulea Airport,Sehulea,PG,-9.964527778,151.1618611,30
AYSO,SBC,Selbang Airport,Selbang,PG,-5.315,141.752,5130
AYSP,SMH,Sapmanga Airport,Sapmanga,PG,-6.075277778,146.8111111,2912
AYSS,TDS,Sasereme Airport,Sasereme,PG,-7.6217,142.868,121
AYSU,SKC,Suki Airport,Suki,PG,-8.0466,141.7222,24
AYSV,SXW,Sauren Airport,Sauren,PG,-5.9701,148.8543,46
AYSW,SWG,Satwag Airport,Satwag,PG,-6.139555556,147.2791667,4185
AYSX,MBV,Masa Airport,Masa,PG,-6.345,147.591,5900
AYTA,TIZ,Tari Airport,Tari,PG,-5.845,142.947998,5500
AYTB,TBG,Tabubil Airport,Tabubil,PG,-5.27861,141.225998,1570
AYTE,TFM,Telefomin Airport,Telefomin,PG,-5.12608,141.641922,4950
AYTF,TDB,Tetebedi Airport,Tetebedi,PG,-9.1586,148.0686,3365
AYTG,TGL,Tagula Airport,Sudest Island,PG,-11.33111111,153.2029167,59
AYTH,TFB,Tifalmin Airport,Tifalmin,PG,-5.1173,141.419,4735
AYTI,TPI,Tapini Airport,Tapini,PG,-8.356666667,146.9891667,3100
AYTK,RAB,Tokua Airport,Kokopo,PG,-4.34046,152.380005,49
AYTN,TKW,Tekin Airport,Tekin,PG,-5.243667,142.165194,5785
AYTO,KDQ,Kamberatoro Airport,Kamberatoro Mission,PG,-3.600556,141.051667,1350
AYTP,TEP,Tep Tep Airport,Teptep,PG,-5.9553,146.5595,7011
AYTR,TBQ,Tarabo Airport,Tarabo,PG,-6.466666667,145.5322222,6100
AYTS,TSW,Tsewi Airport,Tsewi,PG,-7.0695,146.1272,4185
AYTT,TRJ,Tarakbits Airport,Tarakbits,PG,-5.614,141.0421,281
AYTU,TFI,Tufi Airport,Tufi,PG,-9.075954437,149.3198395,85
AYTV,TBE,Timbunke Airport,Timbunke,PG,-4.196633,143.519222,24
AYTW,TWY,Tawa Airport,Tawa,PG,-7.4463,146.1067,5020
AYTY,TEO,Terapo Airport,Terapo Mission,PG,-8.169722222,146.1944444,15
AYTZ,TKB,Tekadu Airport,Tekadu,PG,-7.6808,146.5503,1310
AYUC,UMC,Umba Airport,Umba,PG,-7.0214,145.966,5950
AYUE,URU,Uroubi Airport,Uroubi,PG,-9.5162,148.5591,481
AYUI,UBI,Buin Airport,Buin,PG,-6.729166667,155.6833333,230
AYUM,AUV,Aumo Airport,Aumo,PG,-5.731111111,148.4452778,450
AYUP,GLP,Gulgubip Airport,Gulgubip,PG,-5.2808,141.5411,4900
AYUR,UPR,Upiara Airport,Upiara,PG,-8.5411,142.6503,52
AYUY,KUX,Kuyol Airport,,PG,-5.372361111,141.6238889,3290
AYUZ,UVO,Uvol Airport,Uvol,PG,-6.0178,150.9557,15
AYVL,TLW,Talasea Airport,Talasea,PG,-5.2726,150.0089,44
AYVM,TCJ,Torembi Airport,Torembi,PG,-4.0165,143.1329,90
AYVN,VAI,Vanimo Airport,Vanimo,PG,-2.6926,141.3028,10
AYVO,TON,Tonu Airport,Tonu,PG,-6.6552,155.4326,300
AYVW,WUV,Wuvulu Island Airport,Wuvulu Island,PG,-1.736111111,142.8366667,16
AYWB,WAO,Wabo Airport,Wabo,PG,-6.989444444,145.0751111,132
AYWC,WTT,Wantoat Airport,Wantoat,PG,-6.1325,146.4677778,3900
AYWD,WBM,Wapenamanda Airport,Wapenamanda,PG,-5.635293,143.892231,5889
AYWF,WAJ,Wawoi Falls Airport,Wavoi Falls,PG,-6.9523,142.6557,370
AYWG,AGL,Wanigela Airport,Wanigela,PG,-9.3375,149.155556,53
AYWH,WNU,Wanuma Airport,Wanuma,PG,-4.8961,145.3213,2260
AYWJ,WBC,Wapolu Airport,Wapolu,PG,-9.3376,150.5093,45
AYWK,WWK,Wewak International Airport,Wewak,PG,-3.583830118,143.6690063,19
AYWO,WOA,Wonenara Airport,Wonenara,PG,-6.796861111,145.8919444,5028
AYWQ,WKN,Wakunai Airport,Wakunai,PG,-5.8603,155.2223,20
AYWS,WSU,Wasu Airport,Wasu,PG,-5.961709449,147.1982253,34
AYWT,WTP,Woitape Airport,Fatima Mission,PG,-8.545833,147.2525,5200
AYWU,WUG,Wau Airport,Wau,PG,-7.345556,146.718611,3600
AYXE,YVD,Yeva Airport,Yeva,PG,-7.548,146.188,4510
AYXI,SMJ,Sim Airport,Sim,PG,-7.75,146.9273,5460
AYXO,TLO,Tol Airport,Tol,PG,-4.980830193,152.0099945,49
AYXP,WPM,Wipim Airport,Wipim,PG,-8.78822,142.882004,173
AYXW,WEP,Weam Airport,Weam,PG,-8.6184,141.1381,50
AYYE,KYX,Yalumet Airport,Yalumet,PG,-6.09,147.0117,2600
AYYK,YEQ,Yenkis(Yankisa) Airport,,PG,-5.109722222,143.9176667,3692
AYYL,TCK,Tinboli Airport,Tinboli,PG,-4.0949,143.3838,59
AYYM,LNF,Munbil Airport,,PG,-4.855941,141.220165,3126
AYYO,RAX,Oram Airport,,PG,-9.632916667,148.0480556,3500
AYYP,KPE,Yapsiei Airport,,PG,-4.628055556,141.0941667,600
AYYR,KSX,Yasuru Airport,Yasuru,PG,-6.6015,146.1813,1520
AYZA,ZEN,Zenag Airport,Zenag,PG,-6.952222222,146.61625,3200
AYZI,SWR,Silur Airport,Silur Mission,PG,-4.529888889,153.0544444,217
AYZN,SIZ,Sissano Airport,Sissano,PG,-2.999444444,142.0445,27
AYZS,OSG,Ossima Airport,Ossima,PG,-2.915555556,141.2973056,205
BGAA,JEG,Aasiaat Airport,Aasiaat,GL,68.721802,-52.784698,74
BGBW,UAK,Narsarsuaq Airport,Narsarsuaq,GL,61.1605,-45.425999,112
BGCH,JCH,Qasigiannguit Heliport,Qasigiannguit,GL,68.822816,-51.173447,70
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,GL,70.743103,-22.650499,45
BGGH,GOH,Nuuk Airport,Nuuk,GL,64.193022,-51.676512,283
BGJN,JAV,Ilulissat Airport,Ilulissat,GL,69.243202,-51.057098,95
BGKK,KUS,Kulusuk Airport,Kulusuk,GL,65.573601,-37.1236,117
BGMQ,JSU,Maniitsoq Airport,Maniitsoq,GL,65.412498,-52.9394,91
BGPT,JFR,Paamiut Airport,Paamiut,GL,62.014736,-49.670937,120
BGQQ,NAQ,Qaanaaq Airport,Qaanaaq,GL,77.488602,-69.388702,51
BGSF,SFJ,Kangerlussuaq Airport,Kangerlussuaq,GL,67.010446,-50.715294,165
BGSS,JHS,Sisimiut Airport,Sisimiut,GL,66.951302,-53.729301,33
BGTL,THU,Pituffik Space Base,Pituffik,GL,76.531197,-68.703201,251
BGUK,JUV,Upernavik Airport,Upernavik,GL,72.790199,-56.1306,414
BGUM,UMD,Uummannaq Heliport,Uummannaq,GL,70.680428,-52.11163,50
BGUQ,JQA,Qaarsut Airport,Uummannaq,GL,70.7342,-52.696201,289
BIAR,AEY,Akureyri Airport,Akureyri,IS,65.656573,-18.072018,6
BIBD,BIU,Bildudalur Airport,Bildudalur,IS,65.641296,-23.5462,18
BIBF,BGJ,Borgarfjörður eystri Airport,Borgarfjörður eystri,IS,65.516769,-13.81578,80
BIBK,BJD,Bakkafjörður Airport,Bakkafjörður,IS,66.02189636,-14.82439995,14
BIBL,BLO,Blönduós Airport,Blönduós,IS,65.644997,-20.2875,131
BIBV,BXV,Breiðdalsvík Airport,Breiðdalsvík,IS,64.790037,-14.043927,8
BIDV,DJU,Djúpivogur Airport,Djúpivogur,IS,64.642372,-14.277297,9
BIEG,EGS,Egilsstaðir Airport,Egilsstaðir,IS,65.28330231,-14.40139961,76
BIFF,FAS,Fáskrúðsfjörður Airport,Fáskrúðsfjörður,IS,64.931456,-14.047957,15
BIFM,FAG,Fagurhólsmýri Airport,Fagurhólsmýri,IS,63.874699,-16.6411,56
BIGF,GUU,Grundarfjörður Airport,Grundarfjörður,IS,64.991402,-23.224701,17
BIGJ,GJR,Gjögur Airport,Gjögur,IS,65.9953,-21.3269,83
BIGR,GRY,Grímsey Airport,Grímsey,IS,66.5458,-18.0173,66
BIHK,HVK,Hólmavík Airport,Hólmavík,IS,65.704697,-21.6964,90
BIHN,HFN,Hornafjörður Airport,Höfn,IS,64.295601,-15.2272,24
BIHU,HZK,Húsavík Airport,Húsavík,IS,65.952301,-17.426001,48
BIIS,IFJ,Ísafjörður Airport,Ísafjörður,IS,66.058098,-23.1353,8
BIKF,KEF,Keflavik International Airport,Reykjavík,IS,63.985001,-22.6056,171
BIKP,OPA,Kópasker Airport,Kópasker,IS,66.310799,-16.4667,20
BIKR,SAK,Sauðárkrókur Airport,Sauðárkrókur,IS,65.73169708,-19.57279968,8
BINF,NOR,Norðfjörður Airport,Norðfjörður,IS,65.131897,-13.7464,13
BIOF,OFJ,Ólafsfjörður Airport,Ólafsfjörður,IS,66.083298,-18.6667,32
